name,longitude,latitude,population
Kabupaten Pandeglang,106.103897,-6.314835,1209011
Kabupaten Lebak,106.2522143,-6.5643956,1295810
Kabupaten Tangerang,106.6318889,-6.1783056,3692693
Kabupaten Serang,106.150299,-6.12009,1501501
Kota Tangerang Selatan,106.7180556,-6.2888889,1696308
Kota Tangerang,106.6318889,-6.1783056,2185304
Kota Cilegon,106.040506,-6.0169825,431305
Kota Serang,106.150299,-6.12009,677804
Kabupaten Kepulauan Seribu,106.5071982,-5.7985266,24130
Kota Jakarta Selatan,106.807915,-6.332973,2246140
Kota Jakarta Timur,106.845172,-6.211544,2916020
Kota Jakarta Pusat,106.845172,-6.211544,924690
Kota Jakarta Barat,106.845172,-6.211544,2559360
Kota Jakarta Utara,106.845172,-6.211544,1747310
Kabupaten Bogor,106.8,-6.6,5840907
Kabupaten Sukabumi,106.922203,-6.92405,2460693
Kabupaten Cianjur,107.1307289,-6.8172531,2260620
Kabupaten Bandung,107.6098111,-6.9147444,3717291
Kabupaten Garut,107.908699,-7.227906,2606399
Kabupaten Pangandaran,108.4988,-7.6151,397187
Kabupaten Tasikmalaya,108.214104,-7.327954,1751295
Kabupaten Ciamis,108.35,-7.3333333,1188629
Kabupaten Kuningan,108.4833333,-6.9833333,1074497
Kabupaten Cirebon,108.564003,-6.715534,2176213
Kabupaten Majalengka,108.2258897,-6.8531026,1199300
Kabupaten Sumedang,107.9532,-6.8329,1149906
Kabupaten Indramayu,108.325104,-6.336315,1719187
Kabupaten Subang,107.752403,-6.569361,1579018
Kabupaten Purwakarta,107.4499404,-6.5386806,953414
Kabupaten Karawang,107.3375791,-6.3227303,2336009
Kabupaten Bekasi,107,-6.2333333,3630907
Kabupaten Bandung Barat,107.4321959,-6.8937121,1683711
Kota Bogor,106.8,-6.6,1096828
Kota Sukabumi,106.922203,-6.92405,326282
Kota Bandung,107.6098111,-6.9147444,2503708
Kota Cirebon,108.564003,-6.715534,316277
Kota Bekasi,107,-6.2333333,2931897
Kota Depok,106.83,-6.39,2330333
Kota Cimahi,107.5355,-6.880239,607811
Kota Tasikmalaya,108.214104,-7.327954,662723
Kota Banjar,108.5333333,-7.3666667,182819
Kabupaten Cilacap,109,-7.733333,1719504
Kabupaten Banyumas,109.140438,-7.4832133,1679124
Kabupaten Purbalingga,109.3638,-7.390747,925193
Kabupaten Banjarnegara,109.681396,-7.402706,918219
Kabupaten Kebumen,109.656502,-7.678682,1195092
Kabupaten Purworejo,110.008003,-7.709731,716477
Kabupaten Wonosobo,109.899399,-7.362109,787384
Kabupaten Magelang,110.213799,-7.481253,1279625
Kabupaten Boyolali,110.595901,-7.523819,979799
Kabupaten Klaten,110.595497,-7.711687,1171411
Kabupaten Sukoharjo,110.8195292,-7.6808818,885205
Kabupaten Wonogiri,110.920601,-7.817782,957106
Kabupaten Karanganyar,110.9508333,-7.5961111,879078
Kabupaten Sragen,111.021301,-7.430229,887889
Kabupaten Grobogan,110.9625854,-7.0217194,1371610
Kabupaten Blora,111.4166667,-6.95,862110
Kabupaten Rembang,111.345299,-6.71124,633584
Kabupaten Pati,111.038002,-6.751338,1253299
Kabupaten Kudus,110.838203,-6.804087,861430
Kabupaten Jepara,110.6717,-6.5596059,1240600
Kabupaten Demak,110.639297,-6.888115,1151796
Kabupaten Semarang,110.4166667,-6.9666667,1040629
Kabupaten Temanggung,110.174797,-7.316669,765594
Kabupaten Kendal,110.205597,-6.919686,964106
Kabupaten Batang,109.7234519,-6.8941111,762377
Kabupaten Pekalongan,109.669998,-6.882887,891892
Kabupaten Pemalang,109.377998,-6.884234,1299724
Kabupaten Tegal,109.1333333,-6.8666667,1437225
Kabupaten Brebes,109.05,-6.8833333,1802829
Kota Magelang,110.213799,-7.481253,121872
Kota Surakarta,110.8166667,-7.5666667,517887
Kota Salatiga,110.4729,-7.302328,191571
Kota Semarang,110.4166667,-6.9666667,1786114
Kota Pekalongan,109.669998,-6.882887,304477
Kota Tegal,109.1333333,-6.8666667,249003
Kabupaten Kulon Progo,110.1640846,-7.8266798,425758
Kabupaten Bantul,110.3341111,-7.8846111,1006692
Kabupaten Gunung Kidul,110.6168921,-8.0305091,736210
Kabupaten Sleman,110.4024,-7.7325,1206714
Kota Yogyakarta,110.368797,-7.797224,427498
Kabupaten Banyuwangi,114.3669444,-8.2186111,1252626
Kabupaten Madiun,111.505483,-7.627753,542192
Kabupaten Ponorogo,111.466003,-7.867827,701041
Kabupaten Magetan,111.3381593,-7.6493413,506599
Kabupaten Pacitan,111.08769,-8.204614,445618
Kabupaten Ngawi,111.46193,-7.38993,661856
Kabupaten Bangkalan,112.7450068,-7.0306912,717771
Kabupaten Kediri,112.032356,-7.809356,1208769
Kabupaten Bondowoso,113.813483,-7.917704,610972
Kabupaten Blitar,112.162762,-8.1014419,904257
Kabupaten Trenggalek,111.7166667,-8.05,553912
Kabupaten Tulungagung,111.9,-8.0666667,806189
Kabupaten Nganjuk,111.901808,-7.602932,818644
Kabupaten Situbondo,113.955605,-7.702534,543010
Kabupaten Malang,112.6884549,-8.0495643,2008063
Kabupaten Jember,113.700302,-8.172357,1880213
Kabupaten Sumenep,113.9060624,-6.9253999,866349
Kabupaten Pasuruan,108.8001936,-6.8623098,1242393
Kabupaten Pamekasan,113.4666667,-7.1666667,660551
Kabupaten Probolinggo,113.210675,-7.753965,895725
Kabupaten Lumajang,113.226601,-8.137022,813392
Kabupaten Bojonegoro,111.7615,-7.3175,984972
Kabupaten Tuban,115.1711298,-8.7493146,918724
Kabupaten Lamongan,109.3946794,-7.406153,933333
Kabupaten Sidoarjo,112.7173389,-7.4530278,1696290
Kabupaten Sampang,109.2058436,-7.5782556,702187
Kabupaten Mojokerto,112.427027,-7.488075,857479
Kabupaten Gresik,112.6555,-7.15665,987545
Kabupaten Jombang,112.2264794,-7.5468395,965032
Kota Mojokerto,112.4336111,-7.4722222,99015
Kota Surabaya,112.734398,-7.289166,2269293
Kota Madiun,111.513702,-7.629714,140290
Kota Blitar,112.15,-8.1,109160
Kota Malang,112.626503,-7.981894,689812
Kota Batu,112.5239,-7.8671,159525
Kota Pasuruan,112.903297,-7.644872,149700
Kota Kediri,112.011398,-7.816895,223609
Kota Probolinggo,113.211502,-7.756928,178377
